actualitems > 38600
class > [4#Armor] -8#Shirts#20526
class > [2#Weapons] 7#One-Handed Swords#4598
class > [0#Consumables] 5#Food & Drinks#2148
class > [12#Quest] 0##4735
class > [15#Miscellaneous] 0#Junk#2198
class > [7#Trade Goods] 8#Meat#828
class > [9#Recipes] 5#Cooking Recipes#2207
class > [3#Gems] 7#Simple Gems#663
class > [1#Containers] 0#Bags#125
class > [11#Quivers] 2#Quivers#30
class > [6#Projectiles] 2#Arrows#56
class > [13#Keys] 0##114
class > [8#] 0##1
class > [5#] 0##1
class > [10#Currency] 0##24
class > [16#Glyphs] 6#Death Knight Glyphs#354
ilvl > [5] 400
ilvl > [2] 33
ilvl > [1] 6186
ilvl > [75] 454
ilvl > [22] 140
ilvl > [15] 332
ilvl > [25] 325
ilvl > [10] 299
ilvl > [57] 186
ilvl > [14] 93
ilvl > [28] 122
ilvl > [12] 111
ilvl > [11] 106
ilvl > [9] 88
ilvl > [44] 134
ilvl > [47] 142
ilvl > [29] 116
ilvl > [7] 55
ilvl > [8] 105
ilvl > [31] 124
ilvl > [23] 139
ilvl > [50] 334
ilvl > [54] 155
ilvl > [17] 115
ilvl > [13] 94
ilvl > [56] 163
ilvl > [16] 90
ilvl > [37] 166
ilvl > [38] 135
ilvl > [42] 142
ilvl > [43] 174
ilvl > [41] 132
ilvl > [40] 479
ilvl > [21] 104
ilvl > [20] 468
ilvl > [24] 126
ilvl > [26] 125
ilvl > [27] 145
ilvl > [19] 96
ilvl > [30] 257
ilvl > [52] 180
ilvl > [48] 141
ilvl > [61] 319
ilvl > [4] 50
ilvl > [59] 198
ilvl > [46] 134
ilvl > [6] 35
ilvl > [39] 108
ilvl > [60] 974
ilvl > [33] 161
ilvl > [18] 150
ilvl > [51] 118
ilvl > [3] 35
ilvl > [35] 302
ilvl > [36] 143
ilvl > [45] 411
ilvl > [49] 120
ilvl > [115] 1079
ilvl > [65] 413
ilvl > [34] 119
ilvl > [58] 226
ilvl > [53] 191
ilvl > [62] 306
ilvl > [32] 124
ilvl > [55] 444
ilvl > [64] 84
ilvl > [68] 202
ilvl > [63] 428
ilvl > [67] 53
ilvl > [69] 54
ilvl > [66] 225
ilvl > [0] 505
ilvl > [70] 1303
ilvl > [78] 131
ilvl > [76] 112
ilvl > [90] 122
ilvl > [100] 190
ilvl > [71] 206
ilvl > [74] 96
ilvl > [77] 43
ilvl > [72] 152
ilvl > [73] 126
ilvl > [80] 943
ilvl > [435] 2
ilvl > [81] 148
ilvl > [83] 69
ilvl > [84] 76
ilvl > [79] 23
ilvl > [88] 115
ilvl > [105] 317
ilvl > [93] 138
ilvl > [99] 110
ilvl > [102] 118
ilvl > [108] 183
ilvl > [111] 114
ilvl > [114] 162
ilvl > [95] 7
ilvl > [106] 28
ilvl > [109] 134
ilvl > [112] 93
ilvl > [120] 175
ilvl > [92] 23
ilvl > [86] 21
ilvl > [89] 8
ilvl > [85] 231
ilvl > [96] 96
ilvl > [103] 71
ilvl > [113] 41
ilvl > [107] 10
ilvl > [127] 13
ilvl > [146] 564
ilvl > [117] 56
ilvl > [97] 53
ilvl > [118] 39
ilvl > [101] 1
ilvl > [91] 65
ilvl > [94] 48
ilvl > [130] 93
ilvl > [123] 231
ilvl > [87] 80
ilvl > [136] 187
ilvl > [125] 74
ilvl > [110] 123
ilvl > [128] 221
ilvl > [144] 2
ilvl > [152] 4
ilvl > [135] 2
ilvl > [150] 99
ilvl > [134] 79
ilvl > [138] 502
ilvl > [141] 263
ilvl > [133] 111
ilvl > [175] 84
ilvl > [151] 34
ilvl > [82] 20
ilvl > [145] 10
ilvl > [350] 1
ilvl > [126] 15
ilvl > [156] 11
ilvl > [132] 51
ilvl > [300] 3
ilvl > [296] 1
ilvl > [116] 2
ilvl > [190] 2
ilvl > [210] 2
ilvl > [154] 356
ilvl > [159] 262
ilvl > [164] 24
ilvl > [143] 1
ilvl > [155] 34
ilvl > [179] 21
ilvl > [167] 40
ilvl > [171] 37
ilvl > [163] 20
ilvl > [183] 29
ilvl > [142] 83
ilvl > [158] 200
ilvl > [162] 162
ilvl > [166] 84
ilvl > [170] 61
ilvl > [174] 381
ilvl > [178] 55
ilvl > [182] 55
ilvl > [200] 1214
ilvl > [187] 240
ilvl > [213] 603
ilvl > [226] 495
ilvl > [252] 9
ilvl > [232] 806
ilvl > [251] 464
ilvl > [245] 722
ilvl > [239] 93
ilvl > [185] 2
ilvl > [219] 365
ilvl > [180] 1
ilvl > [206] 1
ilvl > [258] 423
ilvl > [272] 10
ilvl > [284] 26
ilvl > [277] 256
ilvl > [264] 514
ilvl > [271] 46
ilvl > [259] 5
ilvl > [268] 5
ilvl > [270] 96
ilvl > [230] 2
quality > [6] Artifact#11
quality > [1] Common#10287
quality > [0] Poor#1503
quality > [4] Epic#10818
quality > [3] Rare#6827
quality > [2] Uncommon#9051
quality > [5] Legendary#49
quality > [7] Heirloom#62
slot > [4] Shirt#103
slot > [21] Main Hand#618
slot > [17] Two-Hand#1475
slot > [7] Legs#2243
slot > [8] Feet#1765
slot > [5] Chest#2499
slot > [0] #13230
slot > [14] Off Hand#520
slot > [10] Hands#2139
slot > [9] Wrist#1507
slot > [13] One-Hand#1408
slot > [12] Trinket#678
slot > [18] Bag#155
slot > [6] Waist#1631
slot > [11] Finger#1069
slot > [1] Head#2054
slot > [23] Held In Off-Hand#418
slot > [16] Back#952
slot > [28] Relic#246
slot > [2] Neck#754
slot > [3] Shoulder#1913
slot > [15] Ranged#824
slot > [24] Projectile#56
slot > [19] Tabard#76
slot > [22] Off Hand#161
slot > [25] Thrown#114
